Date,Open,High,Low,Close,Adj Close,Volume
2016-01-06,190.160004,193.199997,190.000000,190.470001,176.035858,1879700
2016-01-07,187.899994,189.679993,186.009995,188.110001,173.854736,2136100
2016-01-08,188.789993,189.740005,185.899994,186.070007,171.969330,1503300
2016-01-11,187.479996,188.710007,185.509995,188.110001,173.854736,1773800
2016-01-12,189.059998,189.470001,187.529999,188.919998,174.603333,1010400
2016-01-13,189.000000,189.440002,184.570007,184.860001,170.851013,1099200
2016-01-14,184.860001,186.509995,182.869995,185.550003,171.488754,1062100
2016-01-15,181.000000,185.100006,180.320007,184.210007,170.250259,1532800
2016-01-19,186.369995,187.279999,183.559998,186.750000,172.597794,2210300
2016-01-20,183.839996,185.169998,178.979996,182.559998,168.725296,1841500
2016-01-21,183.470001,184.130005,180.960007,181.220001,167.486862,1031600
2016-01-22,183.229996,184.449997,182.009995,184.110001,170.157837,857300
2016-01-25,184.089996,184.600006,181.619995,181.830002,168.050629,987900
2016-01-26,181.470001,182.740005,178.869995,182.500000,168.669846,1473400
2016-01-27,181.429993,182.490005,177.830002,178.190002,164.686462,1613500
2016-01-28,176.399994,181.190002,175.000000,180.149994,166.497925,2078600
2016-01-29,181.429993,185.339996,180.029999,185.059998,171.035873,1831700
2016-02-01,186.380005,189.750000,184.630005,188.639999,174.344604,1426000
2016-02-02,186.929993,189.179993,186.449997,187.440002,173.235504,1139500
2016-02-03,188.610001,190.050003,186.860001,189.770004,175.388962,1317200
2016-02-04,188.800003,189.899994,185.309998,186.350006,172.228119,1550400
2016-02-05,186.720001,188.589996,185.339996,186.490005,172.357498,1811100
2016-02-08,184.740005,187.929993,184.000000,185.619995,171.553391,1693700
2016-02-09,184.169998,188.389999,184.009995,187.320007,173.124603,1287900
2016-02-10,187.740005,189.520004,187.220001,188.330002,174.058075,1013200
2016-02-11,185.119995,186.570007,180.100006,183.910004,169.972992,1491500
2016-02-12,184.559998,185.570007,180.460007,181.250000,167.514618,1594800
2016-02-16,182.399994,185.889999,180.149994,184.220001,170.259506,2165500
2016-02-17,185.610001,191.130005,184.449997,190.059998,175.656937,1226900
2016-02-18,190.699997,193.750000,190.009995,192.679993,178.078400,1340100
2016-02-19,192.160004,192.639999,190.059998,190.679993,176.229965,1526600
2016-02-22,190.779999,193.410004,190.669998,192.270004,177.699463,1088600
2016-02-23,192.029999,193.320007,190.750000,191.309998,176.812210,806500
2016-02-24,190.759995,190.919998,188.059998,190.020004,175.620026,1020400
2016-02-25,190.050003,192.960007,189.419998,192.929993,179.063293,812300
2016-02-26,193.000000,193.679993,191.940002,192.220001,178.404373,861900
2016-02-29,191.990005,194.800003,191.339996,192.220001,178.404373,1171600
