ATVI,GOOGL,GOOG,T,CHTR,CMCSA,DISCA,DISCK,DISH,EA,FB,FOXA,FOX,IPG,LYV,NFLX,NWSA,TMUS,TTWO,DIS,TWTR,VZ,VIAC,CTL,NWSOMC
36.36580276489258,759.4400024414062,741.8400268554688,25.432275772094727,177.52999877929688,25.24481201171875,26.40999984741211,25.15999984741211,57.290000915527344,66.01203918457031,102.22000122070312,,,18.875579833984375,23.969999313354492,109.95999908447266,12.225597381591797,38.95000076293945,34.16999816894531,97.1557846069336,22.559999465942383,36.341522216796875,,,
35.90180587768555,761.530029296875,742.5800170898438,25.60997200012207,175.1699981689453,25.249347686767578,26.469999313354492,25.270000457763672,57.349998474121094,64.85358428955078,102.7300033569336,,,19.239521026611328,23.90999984741211,107.66000366210938,11.81838607788086,40.220001220703125,34.75,95.19342803955078,21.920000076293945,36.84065246582031,,,
35.5634765625,759.3300170898438,743.6199951171875,25.572431564331055,174.30999755859375,25.054256439208984,26.280000686645508,25.100000381469727,56.060001373291016,63.59526062011719,102.97000122070312,,,18.916929244995117,23.770000457763672,117.68000030517578,11.762856483459473,40.04999923706055,34.0099983215332,94.68395233154297,21.389999389648438,36.50782012939453,,,
35.06081008911133,741.0,726.3900146484375,25.159488677978516,173.6300048828125,24.777482986450195,25.479999542236328,24.31999969482422,54.86000061035156,62.37688064575195,97.91999816894531,,,18.329654693603516,23.110000610351562,114.55999755859375,11.494467735290527,40.5099983215332,32.41999816894531,93.87260437011719,20.260000228881836,36.307315826416016,,,
34.51947784423828,730.9099731445312,714.469970703125,25.18201446533203,174.88999938964844,24.804712295532227,26.010000228881836,25.0,53.810001373291016,63.045989990234375,97.33000183105469,,,18.238666534423828,22.809999465942383,111.38999938964844,11.64254379272461,39.880001068115234,32.34000015258789,93.6367416381836,19.979999542236328,35.954429626464844,,,
35.002811431884766,733.0700073242188,716.030029296875,25.489849090576172,175.6300048828125,24.8273983001709,25.829999923706055,24.850000381469727,53.2400016784668,64.12454986572266,97.51000213623047,,,18.139413833618164,22.780000686645508,114.97000122070312,11.300117492675781,39.68000030517578,32.77000045776367,94.26883697509766,19.649999618530273,36.16295623779297,,,
35.882469177246094,745.3400268554688,726.0700073242188,25.452301025390625,175.32000732421875,24.895450592041016,26.329999923706055,25.25,53.939998626708984,65.53267669677734,99.37000274658203,,,18.238666534423828,23.1299991607666,116.58000183105469,11.503724098205566,40.060001373291016,33.619998931884766,95.72174835205078,19.6200008392334,36.03463363647461,,,
33.697818756103516,719.5700073242188,700.5599975585938,25.332178115844727,167.99000549316406,24.296545028686523,25.540000915527344,24.6200008392334,52.06999969482422,63.295658111572266,95.44000244140625,,,17.93262481689453,22.079999923706055,106.55999755859375,11.281606674194336,38.849998474121094,32.5,92.91028594970703,18.68000030517578,35.4090576171875,,,
34.21981430053711,731.3900146484375,714.719970703125,25.752620697021484,172.30999755859375,24.97711753845215,26.299999237060547,25.420000076293945,51.72999954223633,64.39419555664062,98.37000274658203,,,18.45372772216797,22.510000228881836,107.05999755859375,11.762856483459473,39.38999938964844,32.689998626708984,93.50465393066406,19.0,35.986515045166016,,,
33.746150970458984,710.489990234375,694.4500122070312,25.519874572753906,165.0800018310547,24.45081329345703,25.889999389648438,25.06999969482422,49.939998626708984,65.97209167480469,94.97000122070312,,,17.965709686279297,22.5,104.04000091552734,11.57776165008545,37.790000915527344,32.58000183105469,88.58932495117188,17.940000534057617,35.63361740112305,,,
33.978153228759766,719.0800170898438,701.7899780273438,25.910293579101562,167.3800048828125,24.61414909362793,25.790000915527344,25.219999313354492,48.900001525878906,67.28034973144531,95.26000213623047,,,17.94089126586914,22.3799991607666,107.88999938964844,11.429685592651367,37.650001525878906,32.5,88.65536499023438,16.690000534057617,35.986515045166016,,,
33.552818298339844,718.5599975585938,698.4500122070312,25.452301025390625,170.50999450683594,24.323768615722656,25.530000686645508,25.020000457763672,48.36000061035156,66.76103973388672,94.3499984741211,,,17.45287322998047,21.549999237060547,107.73999786376953,11.244586944580078,37.36000061035156,32.619998931884766,87.30622863769531,17.3799991607666,35.62559509277344,,,
33.40782165527344,726.6699829101562,706.5900268554688,25.932817459106445,169.4499969482422,24.645904541015625,25.889999389648438,25.540000915527344,47.66999816894531,66.94080352783203,94.16000366210938,,,17.90781021118164,21.43000030517578,102.3499984741211,11.448192596435547,37.099998474121094,32.970001220703125,88.7025146484375,17.829999923706055,36.788516998291016,,,
34.72248077392578,745.4600219726562,725.25,26.38330078125,174.72000122070312,25.104162216186523,26.899999618530273,26.43000030517578,49.099998474121094,69.2677001953125,97.94000244140625,,,18.313108444213867,22.1200008392334,100.72000122070312,11.753602027893066,37.849998474121094,33.630001068115234,91.41963958740234,17.84000015258789,37.72687530517578,,,
33.572147369384766,733.6199951171875,711.6699829101562,26.278188705444336,172.33999633789062,24.59600067138672,26.25,25.920000076293945,47.060001373291016,69.82695007324219,97.01000213623047,,,17.97397804260254,21.809999465942383,99.12000274658203,11.56850814819336,37.88999938964844,33.61000061035156,89.90070343017578,17.020000457763672,37.71886444091797,,,
34.12314987182617,733.7899780273438,713.0399780273438,26.57851219177246,172.1699981689453,24.88184356689453,27.420000076293945,27.1200008392334,48.36000061035156,70.73574829101562,97.33999633789062,,,18.486812591552734,22.350000381469727,97.83000183105469,11.846150398254395,39.43000030517578,34.27000045776367,90.82527160644531,17.010000228881836,38.69732666015625,,,
