Date,Open,High,Low,Close,Adj Close,Volume
2016-01-06,99.820000,100.970001,99.599998,100.389999,87.720589,7733800
2016-01-07,99.309998,100.089996,98.879997,99.220001,86.698250,9433100
2016-01-08,99.879997,99.940002,97.849998,98.160004,85.772026,9766700
2016-01-11,98.239998,98.629997,96.080002,97.570000,85.256470,8151400
2016-01-12,97.989998,98.629997,97.239998,98.239998,85.841919,6745000
2016-01-13,98.489998,98.980003,96.839996,97.019997,84.775879,8290700
2016-01-14,97.099998,99.470001,97.000000,98.889999,86.409889,10164300
2016-01-15,96.370003,98.000000,96.250000,97.000000,84.758392,12662200
2016-01-19,97.930000,98.410004,96.900002,97.500000,85.195305,12457800
2016-01-20,96.110001,97.279999,94.529999,95.750000,83.666153,12685200
2016-01-21,95.769997,96.639999,94.279999,95.940002,83.832184,11266400
2016-01-22,97.019997,97.089996,95.949997,96.750000,84.539955,8380000
2016-01-25,96.720001,97.690002,96.040001,96.400002,84.234146,9350200
2016-01-26,97.260002,101.339996,97.139999,101.180000,88.410889,17266600
2016-01-27,100.489998,103.379997,100.489998,102.160004,89.267204,19330500
2016-01-28,102.500000,103.040001,101.849998,102.269997,89.363312,12789500
2016-01-29,102.889999,104.750000,102.629997,104.440002,91.259468,15614600
2016-02-01,103.610001,104.790001,103.220001,104.370003,91.198311,9803700
2016-02-02,103.300003,104.260002,103.000000,103.410004,90.359459,10616300
2016-02-03,103.650002,104.379997,102.010002,104.139999,90.997314,10168600
2016-02-04,103.610001,104.089996,102.730003,103.900002,90.787621,10389000
2016-02-05,102.660004,102.769997,99.779999,100.540001,87.851662,15522200
2016-02-08,100.309998,103.510002,100.220001,102.000000,89.127403,14323800
2016-02-09,101.309998,102.239998,100.970001,101.970001,89.101196,10044500
2016-02-10,102.050003,102.910004,101.370003,101.730003,88.891479,9833100
2016-02-11,100.459999,102.019997,99.980003,101.699997,88.865257,12465800
2016-02-12,101.820000,101.980003,100.720001,101.820000,88.970123,9035000
2016-02-16,102.370003,103.050003,101.650002,102.320000,89.407005,10452800
2016-02-17,102.750000,103.239998,102.230003,102.500000,89.564293,8904000
2016-02-18,102.830002,104.680000,102.500000,104.239998,91.084702,10744600
2016-02-19,103.580002,104.680000,103.379997,104.160004,91.674400,9343300
2016-02-22,104.160004,104.750000,104.050003,104.750000,92.193657,6947000
2016-02-23,104.650002,104.790001,103.959999,104.080002,91.603981,6629200
2016-02-24,103.339996,105.080002,102.970001,104.959999,92.378502,9076100
2016-02-25,104.949997,106.389999,104.769997,106.379997,93.628281,8092500
2016-02-26,106.820000,106.919998,105.419998,105.779999,93.100189,9049400
2016-02-29,105.279999,106.199997,105.040001,105.209999,92.598534,10111100
2016-03-01,105.900002,107.239998,105.440002,107.220001,94.367607,8298500
2016-03-02,106.910004,107.410004,106.430000,107.040001,94.209167,9767000
