Adj Close,Close,High,Low,Open,Volume
AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
24.400941848754883,26.337499618530273,26.342500686645508,25.5,25.65250015258789,270597600.0
23.789470672607422,25.677499771118164,26.462499618530273,25.602500915527344,26.4375,223164000.0
23.323915481567383,25.174999237060547,25.592500686645508,24.967500686645508,25.139999389648438,273829600.0
22.33953857421875,24.112499237060547,25.032499313354492,24.107500076293945,24.670000076293945,324377600.0
22.457672119140625,24.239999771118164,24.77750015258789,24.190000534057617,24.637500762939453,283192000.0
22.821304321289062,24.63249969482422,24.764999389648438,24.334999084472656,24.74250030517578,198957600.0
23.15252113342285,24.989999771118164,25.172500610351562,24.709999084472656,25.137500762939453,196616800.0
22.55726432800293,24.34749984741211,25.297500610351562,24.325000762939453,25.079999923706055,249758400.0
23.05060577392578,24.8799991607666,25.1200008392334,23.934999465942383,24.489999771118164,252680400.0
22.497039794921875,24.282499313354492,24.427499771118164,23.84000015258789,24.049999237060547,319335600.0
22.38818359375,24.165000915527344,24.662500381469727,23.875,24.602500915527344,212350800.0
22.41829490661621,24.197500228881836,24.547500610351562,23.354999542236328,23.774999618530273,289337600.0
22.304800033569336,24.075000762939453,24.469999313354492,23.735000610351562,24.264999389648438,208646000.0
23.490686416625977,25.354999542236328,25.364999771118164,24.592500686645508,24.657499313354492,263202000.0
23.032081604003906,24.860000610351562,25.38249969482422,24.802499771118164,25.3799991607666,207178000.0
23.159467697143555,24.997499465942383,25.219999313354492,24.517499923706055,24.982500076293945,300308000.0
21.637739181518555,23.354999542236328,24.157499313354492,23.334999084472656,24.010000228881836,533478800.0
21.792924880981445,23.522499084472656,23.6299991607666,23.09749984741211,23.447500228881836,222715200.0
22.54568099975586,24.334999084472656,24.334999084472656,23.587499618530273,23.697500228881836,257666000.0
22.334911346435547,24.107500076293945,24.177499771118164,23.850000381469727,24.11750030517578,163774000.0
21.883258819580078,23.6200008392334,24.010000228881836,23.56999969482422,23.854999542236328,149428800.0
22.316381454467773,24.087499618530273,24.209999084472656,23.520000457763672,23.75,183857200.0
22.49569320678711,24.149999618530273,24.332500457763672,23.797500610351562,23.96500015258789,185886800.0
21.894878387451172,23.5049991607666,24.229999542236328,23.422500610351562,24.1299991607666,185672400.0
22.12542152404785,23.752500534057617,23.924999237060547,23.260000228881836,23.282499313354492,216085600.0
22.12076759338379,23.747499465942383,23.985000610351562,23.482500076293945,23.572500228881836,177324800.0
21.953094482421875,23.5674991607666,24.087499618530273,23.524999618530273,23.979999542236328,169374400.0
21.820358276367188,23.424999237060547,23.68000030517578,23.147499084472656,23.447500228881836,200298800.0
21.887893676757812,23.497499465942383,23.625,23.252500534057617,23.547500610351562,161405600.0
22.505006790161133,24.15999984741211,24.212499618530273,23.65250015258789,23.7549991607666,196231600.0
22.84966468811035,24.530000686645508,24.552499771118164,24.037500381469727,24.167499542236328,179452800.0
22.416515350341797,24.065000534057617,24.72249984741211,24.022499084472656,24.709999084472656,156084000.0
22.36528205871582,24.010000228881836,24.190000534057617,23.950000762939453,24.0,141496800.0
22.56089973449707,24.219999313354492,24.225000381469727,23.979999542236328,24.077499389648438,137123200.0
22.0509033203125,23.672500610351562,24.125,23.637500762939453,24.100000381469727,127770400.0
22.37925148010254,24.024999618530273,24.094999313354492,23.329999923706055,23.4950008392334,145022800.0
22.532957077026367,24.190000534057617,24.190000534057617,23.8125,24.012500762939453,110330800.0
22.567882537841797,24.227500915527344,24.5049991607666,24.145000457763672,24.299999237060547,115964400.0
22.516653060913086,24.172500610351562,24.5575008392334,24.162500381469727,24.21500015258789,140865200.0
23.4108943939209,25.13249969482422,25.1924991607666,24.354999542236328,24.412500381469727,201628400.0
23.462127685546875,25.1875,25.22249984741211,24.90999984741211,25.127500534057617,132678400.0
23.636777877807617,25.375,25.427499771118164,25.112499237060547,25.145000457763672,147822800.0
23.988418579101562,25.752500534057617,25.9375,25.342500686645508,25.592500686645508,184220400.0
23.722946166992188,25.467500686645508,25.707500457763672,25.239999771118164,25.59749984741211,143315600.0
23.527326583862305,25.25749969482422,25.440000534057617,25.100000381469727,25.19499969482422,126247600.0
23.548290252685547,25.280000686645508,25.395000457763672,25.0674991607666,25.327499389648438,108806800.0
23.5599308013916,25.292499542236328,25.559999465942383,25.037500381469727,25.352500915527344,134054400.0
23.81376838684082,25.565000534057617,25.56999969482422,25.375,25.559999465942383,109632800.0
23.874311447143555,25.6299991607666,25.727500915527344,25.44499969482422,25.477500915527344,100304400.0
24.354034423828125,26.145000457763672,26.295000076293945,25.962499618530273,25.989999771118164,160270800.0
24.67772674560547,26.49250030517578,26.577499389648438,26.147499084472656,26.15250015258789,153214000.0
24.638141632080078,26.450000762939453,26.61750030517578,26.239999771118164,26.3799991607666,137682800.0
24.66608428955078,26.479999542236328,26.625,26.297500610351562,26.584999084472656,176820800.0
24.663761138916016,26.477500915527344,26.912500381469727,26.28499984741211,26.482500076293945,142010800.0
24.852388381958008,26.68000030517578,26.822500228881836,26.302499771118164,26.3125,129777600.0
24.714990615844727,26.532499313354492,26.767499923706055,26.475000381469727,26.6200008392334,102814000.0
24.607866287231445,26.417499542236328,26.5625,26.22249984741211,26.36750030517578,104532000.0
24.496084213256836,26.297500610351562,26.547500610351562,26.264999389648438,26.5,77645600.0
25.075942993164062,26.920000076293945,26.947500228881836,26.219999313354492,26.22249984741211,124760400.0
25.513748168945312,27.389999389648438,27.604999542236328,27.149999618530273,27.162500381469727,182404400.0
25.381013870239258,27.247499465942383,27.475000381469727,27.219999313354492,27.43000030517578,103553600.0
